Timestamp,Value,Value_Classification,BTC_Closing,BTC_Volume,Hour,DayOfWeek
2020-02-23 12:00:00,46.0,Neutral,9924.515625,41185185761,12,6
2020-02-23 13:00:00,46.0,Neutral,9924.515625,41185185761,13,6
2020-02-23 14:00:00,46.0,Neutral,9924.515625,41185185761,14,6
2020-02-23 15:00:00,46.0,Neutral,9924.515625,41185185761,15,6
2020-02-23 16:00:00,46.0,Neutral,9924.515625,41185185761,16,6
2020-02-23 17:00:00,46.0,Neutral,9924.515625,41185185761,17,6
2020-02-23 18:00:00,46.0,Neutral,9924.515625,41185185761,18,6
2020-02-23 19:00:00,46.0,Neutral,9924.515625,41185185761,19,6
2020-02-23 20:00:00,46.0,Neutral,9924.515625,41185185761,20,6
2020-02-23 21:00:00,46.0,Neutral,9924.515625,41185185761,21,6
2020-02-23 22:00:00,46.0,Neutral,9924.515625,41185185761,22,6
2020-02-23 23:00:00,46.0,Neutral,9924.515625,41185185761,23,6
2020-02-24 00:00:00,46.0,Neutral,9650.1748046875,45080496648,0,0
2020-02-24 01:00:00,46.0,Neutral,9650.1748046875,45080496648,1,0
2020-02-24 02:00:00,46.0,Neutral,9650.1748046875,45080496648,2,0
2020-02-24 03:00:00,46.0,Neutral,9650.1748046875,45080496648,3,0
2020-02-24 04:00:00,46.0,Neutral,9650.1748046875,45080496648,4,0
2020-02-24 05:00:00,46.0,Neutral,9650.1748046875,45080496648,5,0
2020-02-24 06:00:00,46.0,Neutral,9650.1748046875,45080496648,6,0
2020-02-24 07:00:00,46.0,Neutral,9650.1748046875,45080496648,7,0
2020-02-24 08:00:00,46.0,Neutral,9650.1748046875,45080496648,8,0
2020-02-24 09:00:00,46.0,Neutral,9650.1748046875,45080496648,9,0
2020-02-24 10:00:00,46.0,Neutral,9650.1748046875,45080496648,10,0
2020-02-24 11:00:00,46.0,Neutral,9650.1748046875,45080496648,11,0
2020-02-24 12:00:00,46.0,Neutral,9650.1748046875,45080496648,12,0
2020-02-24 13:00:00,46.0,Neutral,9650.1748046875,45080496648,13,0
2020-02-24 14:00:00,46.0,Neutral,9650.1748046875,45080496648,14,0
2020-02-24 15:00:00,46.0,Neutral,9650.1748046875,45080496648,15,0
2020-02-24 16:00:00,46.0,Neutral,9650.1748046875,45080496648,16,0
2020-02-24 17:00:00,46.0,Neutral,9650.1748046875,45080496648,17,0
2020-02-24 18:00:00,46.0,Neutral,9650.1748046875,45080496648,18,0
2020-02-24 19:00:00,46.0,Neutral,9650.1748046875,45080496648,19,0
2020-02-24 20:00:00,46.0,Neutral,9650.1748046875,45080496648,20,0
2020-02-24 21:00:00,46.0,Neutral,9650.1748046875,45080496648,21,0
2020-02-24 22:00:00,46.0,Neutral,9650.1748046875,45080496648,22,0
2020-02-24 23:00:00,46.0,Neutral,9650.1748046875,45080496648,23,0
2020-02-25 00:00:00,44.0,Fear,9341.705078125,42515259129,0,1
2020-02-25 01:00:00,44.0,Fear,9341.705078125,42515259129,1,1
2020-02-25 02:00:00,44.0,Fear,9341.705078125,42515259129,2,1
2020-02-25 03:00:00,44.0,Fear,9341.705078125,42515259129,3,1
2020-02-25 04:00:00,44.0,Fear,9341.705078125,42515259129,4,1
2020-02-25 05:00:00,44.0,Fear,9341.705078125,42515259129,5,1
2020-02-25 06:00:00,44.0,Fear,9341.705078125,42515259129,6,1
2020-02-25 07:00:00,44.0,Fear,9341.705078125,42515259129,7,1
2020-02-25 08:00:00,44.0,Fear,9341.705078125,42515259129,8,1
2020-02-25 09:00:00,44.0,Fear,9341.705078125,42515259129,9,1
2020-02-25 10:00:00,44.0,Fear,9341.705078125,42515259129,10,1
2020-02-25 11:00:00,44.0,Fear,9341.705078125,42515259129,11,1
2020-02-25 12:00:00,44.0,Fear,9341.705078125,42515259129,12,1
2020-02-25 13:00:00,44.0,Fear,9341.705078125,42515259129,13,1
2020-02-25 14:00:00,44.0,Fear,9341.705078125,42515259129,14,1
2020-02-25 15:00:00,44.0,Fear,9341.705078125,42515259129,15,1
2020-02-25 16:00:00,44.0,Fear,9341.705078125,42515259129,16,1
2020-02-25 17:00:00,44.0,Fear,9341.705078125,42515259129,17,1
2020-02-25 18:00:00,44.0,Fear,9341.705078125,42515259129,18,1
2020-02-25 19:00:00,44.0,Fear,9341.705078125,42515259129,19,1
2020-02-25 20:00:00,44.0,Fear,9341.705078125,42515259129,20,1
2020-02-25 21:00:00,44.0,Fear,9341.705078125,42515259129,21,1
2020-02-25 22:00:00,44.0,Fear,9341.705078125,42515259129,22,1
2020-02-25 23:00:00,44.0,Fear,9341.705078125,42515259129,23,1
2020-02-26 00:00:00,41.0,Fear,8820.5224609375,50420050762,0,2
2020-02-26 01:00:00,41.0,Fear,8820.5224609375,50420050762,1,2
2020-02-26 02:00:00,41.0,Fear,8820.5224609375,50420050762,2,2
2020-02-26 03:00:00,41.0,Fear,8820.5224609375,50420050762,3,2
2020-02-26 04:00:00,41.0,Fear,8820.5224609375,50420050762,4,2
2020-02-26 05:00:00,41.0,Fear,8820.5224609375,50420050762,5,2
2020-02-26 06:00:00,41.0,Fear,8820.5224609375,50420050762,6,2
2020-02-26 07:00:00,41.0,Fear,8820.5224609375,50420050762,7,2
2020-02-26 08:00:00,41.0,Fear,8820.5224609375,50420050762,8,2
2020-02-26 09:00:00,41.0,Fear,8820.5224609375,50420050762,9,2
2020-02-26 10:00:00,41.0,Fear,8820.5224609375,50420050762,10,2
2020-02-26 11:00:00,41.0,Fear,8820.5224609375,50420050762,11,2
2020-02-26 12:00:00,41.0,Fear,8820.5224609375,50420050762,12,2
